id,project_id,role_id,description,quantity_per_team
1,1,6,Разработка и обучение AI моделей,2
2,1,8,Интеграция ML решений в продукт,2
3,1,3,Разработка веб-платформы,2
4,2,2,Разработка backend сервисов,2
5,2,7,Построение data pipelines,1
6,2,13,Управление продуктом,1
7,3,6,Анализ медицинских данных,2
8,3,8,Разработка ML моделей,2
9,4,2,Backend для городских сервисов,2
10,4,1,Frontend интерфейсы,2
11,4,4,Развертывание инфраструктуры,1
12,5,1,Frontend разработка,2
13,5,12,UX исследования,1
14,5,13,Управление продуктом,1
15,6,17,Обеспечение безопасности,2
16,6,5,Тестирование системы,2
17,7,2,Backend разработка,2
18,7,8,ML/Blockchain интеграция,1
19,8,6,Компьютерное зрение,2
20,8,1,Frontend визуализация,1
21,9,4,DevOps и облака,2
22,9,2,Backend сервисы,2
23,10,19,Разработка игровых механик,3
24,10,1,UI интерфейсы,1
25,11,18,Мобильная разработка,3
26,11,2,Backend API,1
27,12,6,Анализ данных,2
28,12,7,Data pipelines,1
29,13,4,CI/CD процессы,2
30,13,2,Backend разработка,1
31,14,11,UI дизайн,2
32,14,1,Frontend разработка,2
33,15,13,Управление продуктом,1
34,15,15,Бизнес анализ,1
35,16,4,Инфраструктура IoT,2
36,16,10,Сетевые решения,1
37,17,13,Разработка продукта,1
38,17,3,Fullstack разработка,2
39,18,8,ML чат-боты,2
40,18,2,Backend интеграция,1
41,19,3,Fullstack разработка,2
42,19,5,QA тестирование,1
43,20,7,Big Data pipelines,2
44,20,6,Анализ данных,2
45,21,2,Рефакторинг backend,2
46,21,20,Архитектура системы,1
47,22,8,ML решения,2
48,22,6,Анализ данных,1
49,23,7,Обработка данных,2
50,23,2,Backend разработка,1
51,24,2,Backend сервис,2
52,24,1,Frontend интерфейс,1
53,25,3,Fullstack разработка,2
54,25,12,UX исследования,1
55,26,17,Кибербезопасность,2
56,26,4,DevOps,1
57,27,2,Backend blockchain,2
58,27,4,DevOps инфраструктура,1
59,28,4,Облачная инфраструктура,2
60,28,7,Data pipelines,1
61,29,19,Game AI,2
62,29,8,ML инженерия,1
63,30,18,Мобильная разработка,2
64,30,2,Backend API,2
65,30,17,Безопасность,1
66,31,21,Написание и поддержка технической документации платформы,2
67,31,16,Анализ требований к документации и структурирование контента,1
68,31,14,Координация работы между разработкой и техписателями,1
69,32,22,Фасилитация Scrum-церемоний и обучение Agile,2
70,32,14,Отслеживание метрик и прогресса трансформации,1
71,33,23,Оптимизация запросов и настройка параметров СУБД,2
72,33,27,Анализ производительности базы данных под нагрузкой,1
73,33,4,Развертывание тестового стенда для экспериментов,1
74,34,24,Разработка прошивки на C/C++ для IoT-шлюза,2
75,34,9,Настройка контейнеризации для edge-вычислений,1
76,34,10,Обеспечение сетевой связности устройств,1
77,35,25,Кастомизация модуля закупок в ERP-системе,2
78,35,15,Сбор бизнес-требований от отдела закупок,1
79,35,5,Тестирование доработанного ERP-модуля,1
80,36,26,Разработка фреймворка автотестов (UI + API),2
81,36,13,Создание CI/CD пайплайнов для запуска тестов,1
82,36,5,Написание эталонных тестов для демонстрации,1
83,37,40,Проведение нагрузочного тестирования и анализ узких мест,2
84,37,28,Настройка мониторинга и SLO на основе результатов,1
85,37,4,Подготовка инфраструктуры для генерации нагрузки,1
86,38,28,Разработка SLA/SLO дашбордов и автоматическое восстановление,2
87,50,8,Интеграция экспериментальных моделей в прототип,1
88,38,4,Автоматизация развёртывания инструментов observability,1
89,39,29,Разработка интерактивных дашбордов в Tableau/Power BI,2
90,39,30,Построение ETL-конвейеров для данных продаж,1
91,39,15,Определение ключевых метрик и KPI,1
92,40,30,Разработка витрин данных и отчетов,2
93,40,7,Настройка пайплайнов ETL для корпоративной отчетности,1
94,40,16,Проектирование модели данных для BI,1
95,41,24,Миграция прошивки с FreeRTOS на Zephyr,2
96,41,31,Оптимизация низкоуровневого кода под новую ОСРВ,1
97,41,5,Регрессионное тестирование периферии после миграции,1
98,42,32,Интеграция CRM ERP и SCADA через шину данных,2
99,42,2,Разработка адаптеров для REST/SOAP сервисов,1
100,42,20,Проектирование интеграционной архитектуры,1
101,43,33,Анализ затрат в AWS/GCP и оптимизация,2
102,43,4,Внедрение Infrastructure as Code (Terraform) для cost control,1
103,43,28,Настройка бюджетов и алертов по расходам,1
104,44,34,Разработка корпоративного чат-бота с RAG,2
105,44,8,Интеграция LLM и векторной базы данных,1
106,44,1,Создание веб-интерфейса для администратора бота,1
107,45,35,Разработка VR-комнаты на Unity/Unreal,2
108,45,20,Проектирование взаимодействия WebXR с backend,1
109,45,11,Разработка 3D-интерфейсов и ассетов,1
110,46,36,Аудит смарт-контрактов DeFi на Solidity,2
111,46,17,Анализ уязвимостей и написание отчета по безопасности,1
112,46,2,Разработка вспомогательных инструментов для аудита,1
113,47,37,Мониторинг качества данных в Kafka/MongoDB,2
114,47,7,Настройка пайплайнов для проверки данных,1
115,47,15,Разработка метрик качества и дашбордов,1
116,48,38,Автоматизация процесса релизов с генерацией changelog,2
117,48,11,Настройка CI/CD пайплайнов для чеканса релизов,1
118,48,5,Тестирование процедур отката (rollback),1
119,49,39,Разработка портала L1/L2 поддержки с базой знаний,2
120,49,21,Наполнение базы знаний статьями и инструкциями,1
121,49,4,Развертывание и интеграция с Helpdesk-системой,1
122,50,40,Исследование новых архитектур LLM,2
123,50,6,Подготовка и анализ экспериментальных данных,1
124,50,14,Оценка качества моделей и метрик,1
