id,name
1,Frontend разработчик
2,Backend разработчик
3,Fullstack разработчик
4,DevOps инженер
5,QA инженер
6,Data Scientist
7,Data Engineer
8,ML инженер
9,Системный администратор
10,Сетевой инженер
11,UI дизайнер
12,UX дизайнер
13,Product менеджер
14,Project менеджер
15,Бизнес-аналитик
16,Системный аналитик
17,Инженер по кибербезопасности
18,Мобильный разработчик
19,Game разработчик
20,Архитектор ПО
21,Технический писатель
22,Scrum-мастер
23,Администратор баз данных
24,Embedded разработчик
25,Разработчик ERP-систем
26,Инженер по автоматизации тестирования
27,Специалист по производительности
28,Инженер по надежности (SRE)
29,Аналитик данных
30,BI-разработчик
31,Разработчик низкоуровневых систем
32,Интегратор решений
33,Специалист по облачным технологиям
34,Разработчик чат-ботов
35,AR/VR разработчик
36,Блокчейн разработчик
37,Инженер по качеству данных
38,Менеджер по выпуску релизов
39,Специалист по технической поддержке
40,Исследователь в области ИИ
