id,name
1,HTML
2,CSS
3,JavaScript
4,React
5,Node.js
6,Python
7,Java
8,SQL
9,Docker
10,Kubernetes
11,CI/CD
12,Тестирование ПО
13,Автоматизация тестирования
14,Машинное обучение
15,Анализ данных
16,ETL процессы
17,Облачные платформы
18,Linux
19,Сетевые протоколы
20,Figma
21,UX исследования
22,Управление продуктом
23,Agile
24,Сбор требований
25,Моделирование процессов
26,Информационная безопасность
27,Swift
28,Kotlin
29,Unity
30,Проектирование архитектуры
31,C/C++
32,RTOS
33,Микроконтроллеры
34,Техническая документация
35,Jira/Confluence
36,Фасилитация
37,Администрирование СУБД
38,Оптимизация запросов
39,ERP-системы
40,Selenium/Playwright
41,Нагрузочное тестирование (JMeter/Gatling)
42,Prometheus/Grafana
43,SLO/SLA
44,Pandas/NumPy
45,Power BI/Tableau
46,Ассемблер
47,Middleware (ESB/Kafka)
48,AWS/Azure/GCP
49,Чат-бот платформы (Telegram API)
50,Unity/Unreal VR
51,Solidity
52,Data Quality (Great Expectations)
53,Git
54,Helpdesk системы (Zendesk/Jira Service)
55,PyTorch/TensorFlow
56,Профилирование приложений
57,REST/SOAP API
58,Terraform
59,Смарт-контракты
60,Криптография
